,var_mfcc_1,var_mfcc_2,var_mfcc_3,var_mfcc_4,var_mfcc_5,var_mfcc_6,var_mfcc_7,var_mfcc_8,var_mfcc_9,var_mfcc_10,var_mfcc_11,var_mfcc_12,var_mfcc_13,var_mfcc_14,var_mfcc_15,var_mfcc_16,var_mfcc_17,var_mfcc_18,var_mfcc_19,var_mfcc_20,mean_mfcc_1,mean_mfcc_2,mean_mfcc_3,mean_mfcc_4,mean_mfcc_5,mean_mfcc_6,mean_mfcc_7,mean_mfcc_8,mean_mfcc_9,mean_mfcc_10,mean_mfcc_11,mean_mfcc_12,mean_mfcc_13,mean_mfcc_14,mean_mfcc_15,mean_mfcc_16,mean_mfcc_17,mean_mfcc_18,mean_mfcc_19,mean_mfcc_20,emotion
0,19330.41,2706.4875,1554.3218,1306.1973,711.9103,378.84125,503.32178,376.03076,256.1693,142.84,209.99788,104.39452,181.80887,98.10286,64.3026,124.92674,118.13682,97.1636,60.587795,77.37239,-472.91812,-28.402073,-35.97299,-21.01644,-16.865995,6.213256,-34.129814,-5.118342,-17.125286,0.01068259,-5.6848903,4.0873384,-3.5059743,6.0702434,-0.9995001,4.582222,-9.265168,-0.15971161,-8.494568,-6.377305,angry
1,17218.617,4226.1997,1173.2573,1884.6904,674.2002,630.57684,429.89102,483.86926,224.92381,257.7227,237.51802,151.8299,162.83965,103.90826,80.449646,125.21311,90.85051,59.147434,42.500427,72.93923,-530.4213,-19.345999,-20.607439,-32.69285,-24.191513,8.164441,-19.893309,-0.16800775,-20.87022,6.3530555,-17.300274,13.536378,-7.1845427,8.305956,-3.6641204,3.5060086,-11.374082,-0.5952314,-8.374457,-6.7028217,angry
2,14896.408,3110.9177,974.1008,889.5045,588.4993,520.97437,526.89343,401.07504,221.46039,257.83826,218.7764,140.29283,132.33026,133.63832,100.32919,186.30096,59.254005,142.61606,82.688675,127.219666,-487.0034,-58.42688,-21.5883,-10.0473795,-13.855541,0.1994211,-28.572893,-0.049354795,-20.33065,2.962364,-19.628883,11.595763,-6.7825227,10.332927,-7.4504023,2.9875708,-7.8552337,1.1913664,-12.223239,-7.8086896,angry
3,18611.191,3256.045,1773.693,1063.3777,618.4326,253.3815,558.05066,493.87857,161.72021,128.55307,213.17635,78.52771,137.1894,99.3802,70.09082,101.92739,126.487404,63.83507,49.20686,105.57849,-472.74664,-30.309933,-29.27552,-23.925995,-17.352434,5.4552617,-31.129349,-6.0375495,-20.92906,0.4203086,-8.186982,4.8609185,-5.356575,3.7662365,1.3931941,2.0991867,-10.706567,3.2347324,-10.106897,-6.167577,angry
4,12705.47,3341.7197,1117.374,1113.8784,557.1417,388.84045,441.50327,455.21918,280.4908,212.7617,148.5635,148.5522,131.53847,76.10622,90.18878,145.92937,76.74078,97.09088,75.32709,177.44466,-484.00122,-34.14532,-16.804596,-2.971057,-9.876813,-1.3985364,-35.231472,9.949701,-27.918547,-9.680847,-17.845457,1.2246612,-10.968746,7.4888577,-12.776777,2.632235,-8.717417,2.4674037,-9.970939,-8.962193,angry
5,18585.16,2312.1667,1372.5054,794.43744,480.86343,482.72726,558.56866,320.91077,216.2232,136.80544,202.12415,124.607,127.502495,170.19766,84.95628,147.13033,87.191124,106.48883,56.233078,104.185265,-512.4152,-35.23175,-22.603056,-11.581477,-6.4961042,1.2238604,-35.203384,-1.7602034,-17.761923,-0.80121213,-17.276234,13.556498,-5.1129937,8.041104,-5.82585,2.7930267,-9.318347,-3.8581898,-8.166222,-7.1534233,angry
6,19750.361,2325.0964,1299.1552,858.2491,944.1198,428.92053,568.91394,342.21347,237.62727,227.77815,244.86884,175.27467,206.68005,106.11855,92.05619,156.66498,101.8598,142.14584,85.72927,124.94518,-482.91516,-30.036806,-30.515404,-11.60239,-18.172857,-3.4519932,-33.4303,3.4984288,-21.161112,2.9403381,-19.080555,10.25958,-11.45224,6.529133,-6.8057547,2.7581906,-8.637592,-3.4772604,-11.976697,-8.904782,angry
7,16494.188,3621.2031,994.19275,952.0812,1165.473,634.38306,542.1877,553.13947,206.80261,162.42245,176.43861,145.12408,102.844055,157.7558,89.08314,126.05412,90.94321,64.53391,58.72725,133.7007,-518.8947,-11.755038,-10.219665,-20.236006,-23.954338,-2.317555,-27.31032,2.1051142,-27.446003,-3.4236393,-17.611717,3.4344833,-8.663705,11.809102,-7.7323856,4.8926916,-5.567658,3.1262991,-7.7370996,-13.372109,angry
8,19966.625,3865.678,811.5474,610.05896,1124.3387,829.3699,489.56256,590.88354,311.713,205.90211,217.76169,214.72879,118.71075,117.89544,93.79794,118.167885,65.6226,53.80889,50.455856,121.70093,-485.29764,-19.774374,0.10039817,-13.894707,-31.058601,-5.004315,-21.968224,4.105339,-30.072823,4.7211647,-20.489445,3.8216531,-8.439375,6.2886477,-8.917916,0.54152656,-7.845598,5.918072,-7.2289104,-8.163502,angry
9,20479.754,3018.4255,901.3978,931.7087,1105.161,462.46313,424.46002,463.16156,260.1542,156.73071,221.51672,272.82382,150.00885,117.72715,148.40201,115.151115,144.92625,207.16829,92.29198,90.25856,-490.27557,-36.320534,-23.924309,-25.705791,-21.076038,6.0090265,-26.948423,-1.9079221,-24.659334,-1.4188701,-15.561181,15.58284,-4.6674514,9.584368,-3.0672688,1.6294825,-12.887742,-5.6538353,-8.065045,-4.060757,angry
